candidateId,value,universidad homologada
630665b8594e18004af04aa0,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04aa7,Universidad Privada Antenor Orrego,Universidad Privada Antenor Orrego
630665b8594e18004af04aaf,Universidad Ricardo Palma,Universidad Ricardo Palma
630665b8594e18004af04ab6,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04ac5,Universidad Nacional Daniel Alcides Carrion,Universidad Nacional Daniel Alcides Carrion
630665b8594e18004af04acf,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04af5,Universidad Catolica Sedes Sapientiae,Universidad Catolica Sedes Sapientiae
630665b8594e18004af04afd,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04b05,Universidad Autonoma Del Peru,Universidad Autonoma del Peru S.A.C.
630665b8594e18004af04b1e,Pontificia Universidad Catolica Del Peru,Pontificia Universidad Catolica del Peru
630665b8594e18004af04b26,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04b5c,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04b7e,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04b90,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04ba2,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04bbb,Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04bda,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af04bfa,Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af04c00,Torre Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04c08,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04c10,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04c28,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04c3d,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04c55,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04c65,Universidad Cesar Vallejo   Ucv,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04c77,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04c86,Universidad Nacional Del Callao   Unac,Universidad Nacional del Callao
630665b8594e18004af04c8f,Pucp,Pontificia Universidad Catolica del Peru
630665b8594e18004af04ca5,Universidad Autonoma Del Peru,Universidad Autonoma del Peru S.A.C.
630665b8594e18004af04cef,Universidad Cientifica Del Sur,Universidad Cientifica del Sur S.A.C.
630665b8594e18004af04cfb,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04d15,Universidad San Ignacio De Loyola   Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04d20,Universidad San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af04d3b,Universidad De San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af04d41,Universidad Nacional De San Agustin,Universidad Nacional de San Agustin de Arequipa
630665b8594e18004af04d4b,Unap,Universidad Nacional de la Amazonia Peruana
630665b8594e18004af04d6a,Universidad San Ignacio De Loyola   Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04d81,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04d8b,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04dab,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04db3,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af04dc6,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04dee,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af04e0b,Utp   Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04e14,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04e1b,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af04e29,Universidad Nacional Daniel Alcides Carrion   Undac,Universidad Nacional Daniel Alcides Carrion
630665b8594e18004af04e4a,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af04e59,Universidad San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af04e64,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af04e6b,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04e8e,Universidad Tecnologica Del Peru   Utp,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04ed2,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04eda,Universidad Del Pacifico,Universidad del Pacifico
630665b8594e18004af04efc,Universidad Nacional Daniel Alcides Carrion,Universidad Nacional Daniel Alcides Carrion
630665b8594e18004af04f39,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04f42,Universidad Continental,Universidad Continental S.A.C.
630665b8594e18004af04f48,Universidad De San Martin De Porres   Usmp,Universidad de San Martin de Porres
630665b8594e18004af04f57,Universidad De San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af04f67,Universidad Nacional De San Martin,Universidad Nacional de San Martin
630665b8594e18004af04f9a,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04fc4,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af04fd2,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04fdf,Centro De Idiomas De La Unmsm,Universidad Nacional Mayor de San Marcos
630665b8594e18004af04fdf,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04fdf,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af04ffb,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af05008,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af0502e,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af0505d,Universidad De San Martin De Porres   Usmp,Universidad de San Martin de Porres
630665b8594e18004af05064,Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af05073,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af05085,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af0509a,Universidad Catolica Sedes Sapientiae,Universidad Catolica Sedes Sapientiae
630665b8594e18004af050a1,Universidad Catolica Sedes Sapientiae,Universidad Catolica Sedes Sapientiae
630665b8594e18004af050c8,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05119,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05123,Unmsm,Universidad Nacional Mayor de San Marcos
630665b8594e18004af05149,Universidad De San Martin De Porres,Universidad de San Martin de Porres
630665b8594e18004af0515d,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af0516d,Universidad De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05179,Universidad Privada San Juan Bautista,Universidad Privada San Juan Bautista S.A.C.
630665b8594e18004af05192,Universidad San Ignacio De Loyola   Usil,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af0519c,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af051ab,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af051ba,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af051e5,Universidad Privada Del Norte   Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af051ff,Universidad Autonoma Del Peru,Universidad Autonoma del Peru S.A.C.
630665b8594e18004af05215,Universidad Cientifica Del Sur,Universidad Cientifica del Sur S.A.C.
630665b8594e18004af0522e,Ucv,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af0524e,Universidad Norbert Wiener,Universidad Privada Norbert Wiener S.A.
630665b8594e18004af05289,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af05294,Universidad San Ignacio De Loyola,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af0529e,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af052a6,Universidad Autonoma Del Peru,Universidad Autonoma del Peru S.A.C.
630665b8594e18004af052ad,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af052b5,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af052b5,Universidad Nacional De Ingenieria,Universidad Nacional de Ingenieria
630665b8594e18004af052ca,Universidad La Salle,Universidad La Salle
630665b8594e18004af052ec,Universidad Nacional Del Altiplano,Universidad Nacional del Altiplano
630665b8594e18004af052f9,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af05303,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af0530f,Universidad Nacional De Tumbes,Universidad Nacional de Tumbes
630665b8594e18004af05317,Universidad Andina Del Cusco,Universidad Andina del Cusco
630665b8594e18004af05320,Universidad Privada De Tacna,Universidad Privada de Tacna
630665b8594e18004af0532c,Universidad Nacional Del Callao   Unac,Universidad Nacional del Callao
630665b8594e18004af05336,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af05354,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af05397,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05397,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af053a0,Universidad Nacional De La Amazonia Peruana   Unap,Universidad Nacional de la Amazonia Peruana
630665b8594e18004af053b1,Universidad San Ignacio De Loyola,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af053b1,Universidad Peruana Cayetano Heredia,Universidad Peruana Cayetano Heredia
630665b8594e18004af053be,Universidad Continental,Universidad Continental S.A.C.
630665b8594e18004af053ce,Universidad Nacional Del Callao,Universidad Nacional del Callao
630665b8594e18004af053f3,Universidad De Lima,Universidad Nacional Tecnologica de Lima Sur
630665b8594e18004af053fb,Universidad Peruana De Ciencias Aplicadas   Upc,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af0540e,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af05421,Universidad Peruana De Ciencias Aplicadas   Upc,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05449,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af05463,Universidad Cesar Vallejo   Ucv,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af0546b,Universidad De Huanuco,Universidad Nacional Hermilio Valdizan de Huanuco
630665b8594e18004af05490,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af05497,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af054a9,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af054b2,Universidad Nacional De La Amazonia Peruana,Universidad Nacional Intercultural de la Amazonia
630665b8594e18004af054c0,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af054c7,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af054e7,Universidad Andina Del Cusco,Universidad Andina del Cusco
